,team1,team2,result1,result2,date_of_match,reference
49,Stars Horizon,Sharks,10,16,2022-09-02,/matches/2357870/stars-horizon-vs-sharks-cbcs-masters-festival-2022
50,RCL,wannafly,1,2,2022-09-02,/matches/2358500/rcl-vs-wannafly-cyberpark-cup-2022
51,Brosskiez,Peace of Heroes,2,1,2022-09-02,/matches/2358511/brosskiez-vs-peace-of-heroes-esa-supremes-fall-2022
52,MASONIC,Bad News Eagles,2,0,2022-09-02,/matches/2358505/masonic-vs-bad-news-eagles-flow-fireleague-2022-europe-closed-qualifier
53,ARCTIC,Daotsu,16,14,2022-09-02,/matches/2357869/arctic-vs-daotsu-cbcs-masters-festival-2022
54,1WIN,Aurora,2,0,2022-09-02,/matches/2358463/1win-vs-aurora-cct-central-europe-series-1
55,X,NIJE,2,1,2022-09-02,/matches/2358496/x-vs-nije-res-season-3
56,DNMK,Bravado,2,0,2022-09-02,/matches/2358530/dnmk-vs-bravado-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
57,Finest,EC Kyiv,0,2,2022-09-02,/matches/2358462/finest-vs-ec-kyiv-cct-central-europe-series-1
58,Nixuh,Goliath,2,0,2022-09-02,/matches/2358529/nixuh-vs-goliath-esl-challenger-rotterdam-2022-south-africa-closed-qualifier
59,Ninjas in Pyjamas,Spirit,0,2,2022-09-02,/matches/2357700/ninjas-in-pyjamas-vs-spirit-esl-pro-league-season-16
60,9 Pandas,VP.Prodigy,0,2,2022-09-02,/matches/2358501/9-pandas-vs-vpprodigy-cyberpark-cup-2022
61,forZe,Beyond Possible,2,0,2022-09-02,/matches/2358461/forze-vs-beyond-possible-cct-central-europe-series-1
62,Wings Up,EG White,2,0,2022-09-02,/matches/2358342/wings-up-vs-eg-white-esl-challenger-melbourne-2022
63,Natus Vincere,Endpoint,0,2,2022-09-02,/matches/2357699/natus-vincere-vs-endpoint-esl-pro-league-season-16
64,BLUEJAYS,Monte,1,2,2022-09-02,/matches/2358460/bluejays-vs-monte-cct-central-europe-series-1
65,Imperial,paiN,5,16,2022-09-02,/matches/2358341/imperial-vs-pain-esl-challenger-melbourne-2022
66,OG,Entropiq,13,16,2022-09-02,/matches/2358340/og-vs-entropiq-esl-challenger-melbourne-2022
67,paiN,Grayhound,16,12,2022-09-02,/matches/2358339/pain-vs-grayhound-esl-challenger-melbourne-2022
68,Imperial,VERTEX,16,13,2022-09-02,/matches/2358338/imperial-vs-vertex-esl-challenger-melbourne-2022
69,Strife,ATK,1,2,2022-09-02,/matches/2358168/strife-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
70,Entropiq,EG White,16,4,2022-09-02,/matches/2358337/entropiq-vs-eg-white-esl-challenger-melbourne-2022
71,OG,Wings Up,16,13,2022-09-02,/matches/2358336/og-vs-wings-up-esl-challenger-melbourne-2022
72,Evil Geniuses,BHOP,2,0,2022-09-02,/matches/2358167/evil-geniuses-vs-bhop-iem-road-to-rio-2022-north-america-open-qualifier-2
73,Stars Horizon,Daotsu,2,1,2022-09-02,/matches/2358493/stars-horizon-vs-daotsu-liga-gamers-club-2022-serie-a-august-cup
74,Mythic,ATK,20,22,2022-09-02,/matches/2358166/mythic-vs-atk-iem-road-to-rio-2022-north-america-open-qualifier-2
75,Evil Geniuses,TeamOne,16,13,2022-09-02,/matches/2358163/evil-geniuses-vs-teamone-iem-road-to-rio-2022-north-america-open-qualifier-2
76,Strife,timbermen,16,13,2022-09-02,/matches/2358165/strife-vs-timbermen-iem-road-to-rio-2022-north-america-open-qualifier-2
77,BHOP,Vendetta,16,11,2022-09-02,/matches/2358164/bhop-vs-vendetta-iem-road-to-rio-2022-north-america-open-qualifier-2
78,Sprout,Gravity 0,2,1,2022-09-02,/matches/2358045/sprout-vs-gravity-0-flow-fireleague-2022-europe-closed-qualifier
79,ECLOT,Copenhagen Flames,2,1,2022-09-02,/matches/2358459/eclot-vs-copenhagen-flames-cct-central-europe-series-1
80,Anonymo,Into the Breach,2,0,2022-09-25,/matches/2359155/anonymo-vs-into-the-breach-esea-advanced-season-42-europe
81,Meta BR,Mad Kings,2,0,2022-09-25,/matches/2359172/meta-br-vs-mad-kings-americas-supercup-2022
82,1PIN,HOTU,2,0,2022-09-25,/matches/2359140/1pin-vs-hotu-scl-season-6
83,NAVI Junior,GUESS,2,0,2022-09-25,/matches/2359199/navi-junior-vs-guess-rog-stand-with-ukraine-cup-2022
84,9 Pandas,Iron Branch,0,2,2022-09-25,/matches/2359154/9-pandas-vs-iron-branch-esea-advanced-season-42-europe
85,Cloud9,Liquid,0,2,2022-09-25,/matches/2357750/cloud9-vs-liquid-esl-pro-league-season-16
86,Isurus,Fluxo,1,2,2022-09-25,/matches/2359193/isurus-vs-fluxo-cct-south-america-series-2
87,ECSTATIC,MASONIC,2,1,2022-09-25,/matches/2359102/ecstatic-vs-masonic-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
88,FURIA,Evil Geniuses,2,0,2022-09-25,/matches/2357752/furia-vs-evil-geniuses-esl-pro-league-season-16
89,BIG Academy,eSuba,0,2,2022-09-25,/matches/2359185/big-academy-vs-esuba-cct-central-europe-series-2
90,EC Brugge,DOGS,1,2,2022-09-25,/matches/2359201/ec-brugge-vs-dogs-esea-autumn-2022-cash-cup-1-europe
91,Movistar Riders,Eternal Fire,0,2,2022-09-25,/matches/2357751/movistar-riders-vs-eternal-fire-esl-pro-league-season-16
92,The Union,River Plate,16,5,2022-09-25,/matches/2359171/the-union-vs-river-plate-americas-supercup-2022
93,TAG,LDLC,1,2,2022-09-25,/matches/2359158/tag-vs-ldlc-esea-advanced-season-42-europe
94,JANO,HOTU,0,2,2022-09-25,/matches/2359127/jano-vs-hotu-esea-advanced-season-42-europe
95,HONORIS,Enterprise,2,1,2022-09-25,/matches/2359184/honoris-vs-enterprise-cct-central-europe-series-2
96,GUESS,MixUA,2,1,2022-09-25,/matches/2359198/guess-vs-mixua-rog-stand-with-ukraine-cup-2022
97,Sharks,Paquetá,0,2,2022-09-25,/matches/2359192/sharks-vs-paquet-cct-south-america-series-2
98,UNGENTIUM,DOGS,0,2,2022-09-25,/matches/2359188/ungentium-vs-dogs-esea-autumn-2022-cash-cup-1-europe
99,Flames Shieldmaidens,MostValuablePlayers,0,2,2022-09-25,/matches/2359189/flames-shieldmaidens-vs-mostvaluableplayers-esl-impact-autumn-2022-cash-cup-1-europe
100,EC Brugge,Nemiga,2,0,2022-09-25,/matches/2359187/ec-brugge-vs-nemiga-esea-autumn-2022-cash-cup-1-europe
101,MOUZ,Eternal Fire,1,2,2022-09-25,/matches/2359110/mouz-vs-eternal-fire-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
